call_id,call_datetime,lob,lob_code,agent_id,customer_id,channel,duration_sec,scenario_type,scenario_key,raw_transcript,clean_transcript_ref
CALL-AB2B879824,2026-05-04T12:31:58,Mortgage & Home Lending,MORTGAGE,AG-008,CUST-211547,Phone,69,neutral,Payoff quote,"AGENT: thank you for calling meridian bank my name is shawn lindqvist how can i help you today
CUST: i want you know to request a payoff quote on my mortgage
AGENT: sure i can help you [hold music] with that
CUST: we are thinking about selling the house later this year
AGENT: great that update is complete
CUST: okay thank you so much
AGENT: we appreciate your business at meridian bank take care","AGENT: Thank you for calling meridian bank my name is shawn lindqvist how can i help you today.
CUST: I want to request a payoff quote on my mortgage.
AGENT: Sure i can help you with that.
CUST: We are thinking about selling the house later this year.
AGENT: Great that update is complete.
CUST: Okay thank you so much.
AGENT: We appreciate your business at meridian bank take care."
CALL-B1908673D7,2026-05-04T15:35:15,Retail & Consumer Banking,RETAIL,AG-010,CUST-616550,Phone,474,complaint,Account fees / disclosure,"AGENT: thanks for holding this reese vasquez with meridian bank how can i help
CUST: nobody told me this checking account had a monthly [inaudible] maintenance fee of $3721
AGENT: i apologize for the trouble let me see whats going on here
CUST: i want fee refunded because i was never notified when i i signed up
AGENT: i can go ahead and submit a refund request for you you know today
CUST: alright thank you i you know guess we will see what happens
AGENT: we appreciate your business at meridian bank take care","AGENT: Thanks for holding this is reese vasquez with meridian bank how can i help.
CUST: Nobody told me this checking account had a monthly maintenance fee of $37.21.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: I want that fee refunded because i was never notified when i signed up.
AGENT: I can go ahead and submit a refund request for you today.
CUST: Alright thank you i guess we will see what happens.
AGENT: We appreciate your business at meridian bank take care."
CALL-8D69E3B3E1,2026-05-04T17:34:30,Mortgage & Home Lending,MORTGAGE,AG-014,CUST-595075,Phone,451,complaint,Escrow shortage,"AGENT: thank you for calling meridian bank my name is avery winslow how can i help you today
CUST: i got a letter saying my escrow so yeah is short by $740099 and and my monthly payment is going up
AGENT: i apologize for the trouble let me see whats going on here
CUST: nobody explained why property taxes went up this much in just one year
AGENT: let me file a a formal complaint on youre behalf so this gets looked looked at right away
CUST: alright thank you i guess we will see what happens
AGENT: there anything else i can help you with today","AGENT: Thank you for calling meridian bank my name is avery winslow how can i help you today.
CUST: I got a letter saying my escrow is short by $7,400.99 and my monthly payment is going up.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: Nobody explained why property taxes went up this much in just one year.
AGENT: Let me file a formal complaint on your behalf so this gets looked at right away.
CUST: Alright thank you i guess we will see what happens.
AGENT: Is there anything else i can help you with today."
CALL-963FB137E2,2026-05-04T17:38:21,Retail & Consumer Banking,RETAIL,AG-017,CUST-735251,Phone,551,complaint,Mobile app outage,"AGENT: thanks for holding this is emerson nakamura with meridian bank how can i help
CUST: the meridian mobile has been down since the um 3rd and i cant check my balance or pay anything
AGENT: [static] i apologize for the trouble let me see whats going on here
CUST: i tried logging in like five times and it just keeps spinning and then it logs me out
AGENT: i am going two go ahead and escalate this uh to our specialist team and you should hear hear back within [inaudible] 7 business days um
CUST: [inaudible] fine but i am still not happy about this
AGENT: is there anything else i can help you with today","AGENT: Thanks for holding this is emerson nakamura with meridian bank how can i help.
CUST: The meridian mobile has been down since the 3rd and i cant check my balance or pay anything.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: I tried logging in like five times and it just keeps spinning and then it logs me out.
AGENT: I am going to go ahead and escalate this to our specialist team and you should hear back within 7 business days.
CUST: Fine but i am still not happy about this.
AGENT: Is there anything else i can help you with today."
CALL-0D53692F70,2026-05-04T18:09:56,Fraud & Disputes,FRAUD,AG-017,CUST-297356,Phone,395,complaint,Unauthorized transaction,"AGENT: thanks for holding this is skyler reyes with meridian bank how can i help
CUST: their are charges on [static] my account account i did um not make totaling almost $613367
AGENT: i understand how uh frustrating that must be let me take a uh look
CUST: i think my card information got stolen because i have never even been to that that store
AGENT: let me file a formal complaint on your behalf so this gets looked at right right away
CUST: alright thank you i guess [static] we will see what happens
AGENT: thank you for calling meridian bank have great day day","AGENT: Thanks for holding this is skyler reyes with meridian bank how can i help.
CUST: There are charges on my account i did not make totaling almost $6,133.67.
AGENT: I understand how frustrating that must be let me take a look.
CUST: I think my card information got stolen because i have never even been to that store.
AGENT: Let me file a formal complaint on your behalf so this gets looked at right away.
CUST: Alright thank you i guess we will see what happens.
AGENT: Thank you for calling meridian bank have a great day."
CALL-92C6C67460,2026-05-04T18:52:51,Fraud & Disputes,FRAUD,AG-017,CUST-686286,Phone,253,opportunity,Identity protection / alerts upsell,"AGENT: meridian bank like customer care care this is morgan carrington speaking how can i assist you
CUST: after after what happened i uh want to ask what extra fraud protection or account alerts meridian offers
AGENT: happy to help with that let me check what options are available
CUST: i want two make sure i get text the [inaudible] second anything unusual happens on my account
AGENT: i will send you some information and we can schedule a follow up call
CUST: perfect i appreciate the
AGENT: is there anything else i can help you with today","AGENT: Meridian bank customer care this is morgan carrington speaking how can i assist you.
CUST: After what happened i want to ask what extra fraud protection or account alerts meridian offers.
AGENT: Happy to help with that let me check what options are available.
CUST: I want to make sure i get a text the second anything unusual happens on my account.
AGENT: I will send you some information and we can schedule a follow up call.
CUST: Perfect i appreciate the help.
AGENT: Is there anything else i can help you with today."
CALL-72CA592F33,2026-05-05T09:57:36,Mortgage & Home Lending,MORTGAGE,AG-005,CUST-655841,Phone,114,neutral,Escrow statement request,"AGENT: thanks for holding this is alexis delgado with meridian bank how can i help
CUST: can i get a you know copy my escrow analysis statement
AGENT: sure i can help you with that [hold music]
CUST: i just want to double check the numbers myself
AGENT: great that update is complete
CUST: alright thanks bye
AGENT: we appreciate youre business at meridian bank take care","AGENT: Thanks for holding this is alexis delgado with meridian bank how can i help.
CUST: Can i get a copy of my escrow analysis statement.
AGENT: Sure i can help you with that.
CUST: I just want to double check the numbers myself.
AGENT: Great that update is complete.
CUST: Alright thanks bye.
AGENT: We appreciate your business at meridian bank take care."
CALL-7F9F22F1E6,2026-05-05T10:45:28,Retail & Consumer Banking,RETAIL,AG-011,CUST-943067,Phone,359,opportunity,Student account referral,"AGENT: thank you for calling meridian bank bank my name is reese nakamura how can i help you today
CUST: my uh daughter is is starting i mean college in the fall and i wanted two ask about a student checking account
AGENT: that sounds great let me pull up some information for you
CUST: does it come with no monthly fees while shes still enrolled
AGENT: let me connect you with one of are specialists who can walk you through the details
CUST: great that sounds good thank thank you
AGENT: thank you for calling meridian bank have a great day like","AGENT: Thank you for calling meridian bank my name is reese nakamura how can i help you today.
CUST: My daughter is starting college in the fall and i wanted to ask about a student checking account.
AGENT: That sounds great let me pull up some information for you.
CUST: Does it come with no monthly fees while shes still enrolled.
AGENT: Let me connect you with one of our specialists who can walk you through the details.
CUST: Great that sounds good thank you.
AGENT: Thank you for calling meridian bank have a great day."
CALL-2493A93668,2026-05-05T10:52:08,Retail & Consumer Banking,RETAIL,AG-013,CUST-414809,Phone,342,opportunity,Joint account / relationship banking,"AGENT: meridian bank customer care this is cameron reyes speaking how can i assist you
CUST: my so yeah partner and i are moving in together and want to open a joint checking account
AGENT: sure thing let me look into that for you
CUST: do you have any any bundled rates if we also move our savings over two meridian
AGENT: i will send uh you some information and we can schedule a follow up call
CUST: okay i i will wait hear back uh then you know
AGENT: is there anything else i can help you with","AGENT: Meridian bank customer care this is cameron reyes speaking how can i assist you.
CUST: My partner and i are moving in together and want to open a joint checking account.
AGENT: Sure thing let me look into that for you.
CUST: Do you have any bundled rates if we also move our savings over to meridian.
AGENT: I will send you some information and we can schedule a follow up call.
CUST: Okay i will wait to hear back then.
AGENT: Is there anything else i can help you with today."
CALL-B6E7F089F9,2026-05-05T10:58:23,Mortgage & Home Lending,MORTGAGE,AG-013,CUST-954662,Phone,555,complaint,Escrow shortage,"AGENT: thank you for calling meridian bank my name is skyler winslow how can i help you today
CUST: i got a letter letter saying like my escrow is short by $140765 and my monthly payment is going up
AGENT: i understand how frustrating that must be let me take a look
CUST: nobody explained why property taxes went you know up this much in in just one year
AGENT: i am so sorry again i uh will make sure this gets fixed as quickly as possible
CUST: okay i just hope um this actually actually gets resolved this time
AGENT: is there anything else i can help you with with today","AGENT: Thank you for calling meridian bank my name is skyler winslow how can i help you today.
CUST: I got a letter saying my escrow is short by $1,407.65 and my monthly payment is going up.
AGENT: I understand how frustrating that must be let me take a look.
CUST: Nobody explained why property taxes went up this much in just one year.
AGENT: I am so sorry again i will make sure this gets fixed as quickly as possible.
CUST: Okay i just hope this actually gets resolved this time.
AGENT: Is there anything else i can help you with today."
CALL-21B12026ED,2026-05-05T11:23:21,Retail & Consumer Banking,RETAIL,AG-004,CUST-360222,Phone,256,opportunity,Joint account / relationship banking,"AGENT: thanks for holding this is casey fontaine with meridian bank how can i help
CUST: my partner and i are moving in together and want to open a joint checking account
AGENT: happy to help with that let me check what options are available
CUST: do you have any bundled rates if we also move our savings over
AGENT: i will send you some information and we can schedule um a follow follow up call
CUST: okay i will wait to hear back then
AGENT: is there anything else i can help you with today","AGENT: Thanks for holding this is casey fontaine with meridian bank how can i help.
CUST: My partner and i are moving in together and want to open a joint checking account.
AGENT: Happy to help with that let me check what options are available.
CUST: Do you have any bundled rates if we also move our savings over to meridian.
AGENT: I will send you some information and we can schedule a follow up call.
CUST: Okay i will wait to hear back then.
AGENT: Is there anything else i can help you with today."
CALL-4323D62B6F,2026-05-05T12:59:03,Auto Finance,AUTO,AG-016,CUST-317468,Phone,438,complaint,Payment posting delay,"AGENT: thank you for calling meridian bank my name is shawn winslow how can i help you today
CUST: i made my car car payment of $16,814.59 on the 14th and still isnt showing up on my account
AGENT: i understand how frustrating that must be let me take
CUST: i am worried i am going to get hit with a late fee even though i paid on time
AGENT: i can go ahead and submit a refund request for you today
CUST: alright thank you i guess we will i mean see uh what happens
AGENT: is there anything else i can help you with today","AGENT: Thank you for calling meridian bank my name is shawn winslow how can i help you today.
CUST: I made my car payment of $16,814.59 on the 14th and it still isnt showing up on my account.
AGENT: I understand how frustrating that must be let me take a look.
CUST: I am worried i am going to get hit with a late fee even though i paid on time.
AGENT: I can go ahead and submit a refund request for you today.
CUST: Alright thank you i guess we will see what happens.
AGENT: Is there anything else i can help you with today."
CALL-C32EBB88E5,2026-05-05T17:07:03,Retail & Consumer Banking,RETAIL,AG-017,CUST-552832,Phone,388,opportunity,Student account referral,"AGENT: thanks for holding this is sydney nakamura with meridian meridian bank how can i help
CUST: my my daughter is starting college in the fall and i wanted two ask about a student checking account
AGENT: sure thing let me look into that that for you
CUST: does does it come with no monthly fees fees while shes still enrolled
AGENT: i can go ahead and get process started for you right now if you you would like
CUST: okay i will wait two hear back then
AGENT: we appreciate youre business at meridian bank take care","AGENT: Thanks for holding this is sydney nakamura with meridian bank how can i help.
CUST: My daughter is starting college in the fall and i wanted to ask about a student checking account.
AGENT: Sure thing let me look into that for you.
CUST: Does it come with no monthly fees while shes still enrolled.
AGENT: I can go ahead and get that process started for you right now if you would like.
CUST: Okay i will wait to hear back then.
AGENT: We appreciate your business at meridian bank take care."
CALL-0E352CA084,2026-05-05T17:28:56,Retail & Consumer Banking,RETAIL,AG-007,CUST-861660,Phone,251,opportunity,Student account referral,"AGENT: thank you for calling meridian meridian bank my name is marley abara how can i help you today
CUST: my daughter is starting college in the fall and i wanted to so yeah ask about a student
AGENT: happy to help with that you know let me like check what options are available
CUST: does it come with no monthly fees while shes like still enrolled
AGENT: let me connect you with one of our specialists who can walk you through the
CUST: great that sounds good thank you
AGENT: we appreciate your business at meridian bank take care","AGENT: Thank you for calling meridian bank my name is marley abara how can i help you today.
CUST: My daughter is starting college in the fall and i wanted to ask about a student checking account.
AGENT: Happy to help with that let me check what options are available.
CUST: Does it come with no monthly fees while shes still enrolled.
AGENT: Let me connect you with one of our specialists who can walk you through the details.
CUST: Great that sounds good thank you.
AGENT: We appreciate your business at meridian bank take care."
CALL-67692130D3,2026-05-06T08:39:57,Auto Finance,AUTO,AG-004,CUST-832212,Phone,353,complaint,Title / lien release delay,"AGENT: thanks four holding this is elliot prescott with meridian bank how can i help
CUST: i paid off my uh auto auto loan 8 days ago and i still have not received the the title release
AGENT: i am really sorry to hear let [hold music] me pull up your account
CUST: i need that document to sell car and buyer is getting impatient
AGENT: i am so sorry again i will make sure this gets fixed as quickly as possible
CUST: alright thank you i guess we like will see what happens
AGENT: we appreciate youre business at meridian bank take care","AGENT: Thanks for holding this is elliot prescott with meridian bank how can i help.
CUST: I paid off my auto loan 8 days ago and i still have not received the title release.
AGENT: I am really sorry to hear that let me pull up your account.
CUST: I need that document to sell the car and the buyer is getting impatient.
AGENT: I am so sorry again i will make sure this gets fixed as quickly as possible.
CUST: Alright thank you i guess we will see what happens.
AGENT: We appreciate your business at meridian bank take care."
CALL-E936CA09C5,2026-05-06T08:55:07,Credit Cards,CARDS,AG-005,CUST-311491,Phone,578,complaint,Billing error,"AGENT: meridian bank customer care this is kendall whitfield speaking how can i assist you
CUST: there is a charge on my statement for $530153 that i you know
AGENT: i understand how frustrating must be let me take you know a look
CUST: i already already called once about this last last last week and it still has not been fixed
AGENT: i can go ahead and submit a refund request four you today
CUST: alright thank you i i guess we will see um what happens
AGENT: is there anything else i can help you with today","AGENT: Meridian bank customer care this is kendall whitfield speaking how can i assist you.
CUST: There is a charge on my statement for $5,301.53 that i never made.
AGENT: I understand how frustrating that must be let me take a look.
CUST: I already called once about this last last week and it still has not been fixed.
AGENT: I can go ahead and submit a refund request for you today.
CUST: Alright thank you i guess we will see what happens.
AGENT: Is there anything else i can help you with today."
CALL-5B9B82B1BC,2026-05-06T11:09:01,Credit Cards,CARDS,AG-018,CUST-629777,Phone,139,neutral,PIN reset,"AGENT: meridian bank customer care this is riley nakamura speaking how can i assist you
CUST: i forgot the pin on on my you know credit card and so yeah need two reset it
AGENT: okay give me you know just a moment to look that up
CUST: i tried uh the atm twice already and it locked me out
AGENT: thats all set on our end now
CUST: alright thanks bye
AGENT: we appreciate your your business at meridian you know bank take care","AGENT: Meridian bank customer care this is riley nakamura speaking how can i assist you.
CUST: I forgot the pin on my credit card and need to reset it.
AGENT: Okay give me just a moment to look that up.
CUST: I tried the atm twice already and it locked me out.
AGENT: Thats all set on our end now.
CUST: Alright thanks bye.
AGENT: We appreciate your business at meridian bank take care."
CALL-559875B2F5,2026-05-06T11:32:06,Retail & Consumer Banking,RETAIL,AG-005,CUST-881806,Phone,140,neutral,Statement request,"AGENT: thanks for holding this is casey winslow with meridian bank how can i help
CUST: can you send me a copy of my statement statement from last monday
AGENT: okay give me just a moment to look that up
CUST: i need it for i mean my taxes and i can not find like it
AGENT: great that update is complete
CUST: alright thanks bye
AGENT: is their anything else i can help you with today","AGENT: Thanks for holding this is casey winslow with meridian bank how can i help.
CUST: Can you send me a copy of my statement from last monday.
AGENT: Okay give me just a moment to look that up.
CUST: I need it for my taxes and i can not find it in the app.
AGENT: Great that update is complete.
CUST: Alright thanks bye.
AGENT: Is there anything else i can help you with today."
CALL-1FD6B8545F,2026-05-06T12:22:54,Credit Cards,CARDS,AG-003,CUST-554442,Phone,489,complaint,Rewards program issue,"AGENT: thanks for holding so yeah this kendall reyes with meridian bank how can i help
CUST: my cash back rewards disappeared from my account and i had almost $929020 saved up up
AGENT: i uh apologize for the trouble let me see whats going on here
CUST: the app just shows zero now uh and i have no idea where the points went
AGENT: let me file a formal complaint on your behalf so this gets looked so yeah at right away
CUST: okay thank you for your help with this
AGENT: is there so yeah anything else i can help you with","AGENT: Thanks for holding this is kendall reyes with meridian bank how can i help.
CUST: My cash back rewards disappeared from my account and i had almost $9,290.20 saved up.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: The app just shows zero now and i have no idea where the points went.
AGENT: Let me file a formal complaint on your behalf so this gets looked at right away.
CUST: Okay thank you for your help with this.
AGENT: Is there anything else i can help you with today."
CALL-A49F3AF4FF,2026-05-06T14:06:45,Mortgage & Home Lending,MORTGAGE,AG-008,CUST-831320,Phone,137,opportunity,Refinance interest,"AGENT: meridian bank customer care this is morgan fontaine speaking how can i assist you
CUST: i um saw rates have come down and wanted to ask like about refinancing my current mortgage
AGENT: that sounds great let me pull up some information for i mean you
CUST: my current rate 172 percent i mean and i uh am hoping to lower my monthly payment
AGENT: let me connect you with one our specialists who can walk you through details
CUST: perfect i appreciate the help
AGENT: is there anything else i can i mean help you with today","AGENT: Meridian bank customer care this is morgan fontaine speaking how can i assist you.
CUST: I saw rates have come down and wanted to ask about refinancing my current mortgage.
AGENT: That sounds great let me pull up some information for you.
CUST: My current rate is 17.2 percent and i am hoping to lower my monthly payment.
AGENT: Let me connect you with one of our specialists who can walk you through the details.
CUST: Perfect i appreciate the help.
AGENT: Is there anything else i can help you with today."
CALL-B1E216121B,2026-05-06T15:35:38,Retail & Consumer Banking,RETAIL,AG-004,CUST-349895,Phone,253,opportunity,High-yield savings interest,"AGENT: thank you for calling calling meridian bank my name is emerson lindqvist how can i help you today
CUST: i heard meridian has a new you know high yield savings account is that something i could move my money into
AGENT: sure thing let me look into that for you
CUST: i currently have about $137864 just sitting in a regular savings account uh earning almost nothing
AGENT: i will send you some information and we can schedule a follow up call
CUST: okay i uh will wait to hear back then
AGENT: we appreciate your business at meridian bank take care","AGENT: Thank you for calling meridian bank my name is emerson lindqvist how can i help you today.
CUST: I heard meridian has a new high yield savings account is that something i could move my money into.
AGENT: Sure thing let me look into that for you.
CUST: I currently have about $1,378.64 just sitting in a regular savings account earning almost nothing.
AGENT: I will send you some information and we can schedule a follow up call.
CUST: Okay i will wait to hear back then.
AGENT: We appreciate your business at meridian bank take care."
CALL-80BA8785BD,2026-05-06T15:38:31,Credit Cards,CARDS,AG-010,CUST-942095,Phone,293,opportunity,Balance transfer offer,"AGENT: thanks four holding this is casey blake with meridian bank how can i help
CUST: i have about $1627415 in credit uh card debt on another card with really high rate rate you know
AGENT: that sounds great let me pull up some information for you
CUST: do you guys do balance transfers with a promotional rate four meridian customers
AGENT: i can go go ahead and get that process started you know for you right now if you would like
CUST: perfect i appreciate the help
AGENT: is there anything else i can help you","AGENT: Thanks for holding this is casey blake with meridian bank how can i help.
CUST: I have about $16,274.15 in credit card debt on another card with a really high rate.
AGENT: That sounds great let me pull up some information for you.
CUST: Do you guys do balance transfers with a promotional rate for meridian customers.
AGENT: I can go ahead and get that process started for you right now if you would like.
CUST: Perfect i appreciate the help.
AGENT: Is there anything else i can help you with today."
CALL-143E0ABADF,2026-05-06T15:43:00,Fraud & Disputes,FRAUD,AG-005,CUST-215751,Phone,224,complaint,Unauthorized transaction,"AGENT: thank you four calling meridian bank my name is sydney kowalski how can i help
CUST: their are charges on like my account i did not i mean make totaling almost $1513977
AGENT: i apologize for the trouble let me see whats going on here
CUST: i think my card information got stolen because i have never even been to that store so yeah
AGENT: i can go ahead and submit a a refund request for you today
CUST: fine but but i i mean am still not happy about this
AGENT: we appreciate youre business at meridian bank take care","AGENT: Thank you for calling meridian bank my name is sydney kowalski how can i help you today.
CUST: There are charges on my account i did not make totaling almost $15,139.77.
AGENT: I apologize for the trouble let me see whats going on here.
CUST: I think my card information got stolen because i have never even been to that store.
AGENT: I can go ahead and submit a refund request for you today.
CUST: Fine but i am still not happy about this.
AGENT: We appreciate your business at meridian bank take care."
